3,0,1834
15,0,1839
77,100,1844
104,102,1849
538,13,1854
550,275,1859
473,0,1864
20,0,1869
22,0,1874
837,0,1879
410,0,1884
1150,1,1889
4,0,1894
16,0,1899
3,0,1904
42,0,1909
5,0,1914
15,0,1919
8,0,1924
15,0,1929
5,0,1934
17,0,1939
0,0,1944
3,0,1949
1,0,1954
0,0,1959
0,0,1964
0,0,1969
2,0,2183
69,359,2188
122,961,2193
543,0,2198
16,23,2203
451,531,2208
360,639,2213
744,348,2218
19,1029,2223
203,449,2228
125,1252,2233
0,0,2238
102,158,2243
860,473,2248
483,0,2253
477,465,2258
929,591,2263
187,567,2268
38,172,2273
155,5,2278
121,137,2283
7,1754,2288
40,0,2293
28,39,2298
36,13,2303
39,4,2308
23,34,2313
38,3,2318
201,277,2323
6,536,2328
42,82,2333
18,4,2338
119,1,2343
11,2,2348
4,7,2353
2,0,2358
1,75,2363


